,Predictors,Coeff,CI_lower,CI_upper,Names,Labels
63,Age,150.9927487,147.933172,154.0523254,hc3,child's height
64,Age^2,-11.51722468,-12.1229179,-10.91153146,hc3,child's height
65,Orphanhood,-2.289342121,-5.175423204,0.596738961,hc2,child's weight
66,Sex,-4.883065468,-5.643917059,-4.122213878,hc2,child's weight
67,Age,30.44557347,29.41847839,31.47266855,hc2,child's weight
68,Age^2,-2.04594268,-2.24927906,-1.8426063,hc2,child's weight
69,Orphanhood,0.14867236,0.02809186,0.26925286,hv106,highest educational level attained
70,Sex,0.14157514,0.07603987,0.2071104,hv106,highest educational level attained
71,Age,0.97091301,0.9229917,1.01883431,hv106,highest educational level attained
72,Age^2,-0.03021939,-0.03248824,-0.02795054,hv106,highest educational level attained
73,Orphanhood,-0.219346076,-0.317913952,-0.1207782,hv270,household wealth index
74,Sex,0.081166066,0.033439449,0.128892682,hv270,household wealth index
75,Age,-0.020390683,-0.037778124,-0.003003242,hv270,household wealth index
76,Age^2,0.002532198,0.001510226,0.00355417,hv270,household wealth index
